Year,Type,TypePerAcre
2010,Central Pop,21
2011,Central Pop,22
2012,Central Pop,22.1
2013,Central Pop,24.5
2014,Central Pop,24.8
2010,Central Job,12.8
2011,Central Job,16
2012,Central Job,15.5
2013,Central Job,20.2
2014,Central Job,16.6
2010,North Pop,12.3
2011,North Pop,12.5
2012,North Pop,12.7
2013,North Pop,13.5
2014,North Pop,13.7
2010,North Job,9
2011,North Job,9.8
2012,North Job,10.5
2013,North Job,12
2014,North Job,10.2
2010,South Pop,13
2011,South Pop,13.7
2012,South Pop,14.2
2013,South Pop,15.4
2014,South Pop,15.7
2010,South Job,3.7
2011,South Job,5.8
2012,South Job,5.8
2013,South Job,6.1
2014,South Job,6.1