Year,Month,HPI
2006,January,375300
2006,February,383300
2006,March,391600
2006,April,399000
2006,May,406300
2006,June,413600
2006,July,418600
2006,August,423600
2006,September,428600
2006,October,428300
2006,November,427600
2006,December,427300
2007,January,431600
2007,February,436200
2007,March,440600
2007,April,446600
2007,May,452500
2007,June,458900
2007,July,461500
2007,August,464500
2007,September,467200
2007,October,469500
2007,November,471800
2007,December,474200
2008,January,480800
2008,February,487500
2008,March,494500
2008,April,493800
2008,May,492800
2008,June,492100
2008,July,485500
2008,August,478800
2008,September,472500
2008,October,458900
2008,November,445600
2008,December,432600
2009,January,430200
2009,February,428300
2009,March,425900
2009,April,431900
2009,May,437900
2009,June,443900
2009,July,450200
2009,August,456900
2009,September,463900
2009,October,469200
2009,November,474500
2009,December,479800
2010,January,485200
2010,February,488100
2010,March,494800
2010,April,493500
2010,May,489100
2010,June,489100
2010,July,488500
2010,August,485500
2010,September,480200
2010,October,475800
2010,November,477800
2010,December,489500
2011,January,491800
2011,February,493800
2011,March,494100
2011,April,505400
2011,May,512100
2011,June,519800
2011,July,519800
2011,August,520800
2011,September,518100
2011,October,515800
2011,November,514800
2011,December,509100
2012,January,513400
2012,February,514400
2012,March,516400
2012,April,521800
2012,May,523800
2012,June,524400
2012,July,518100
2012,August,508400
2012,September,506100
2012,October,504800
2012,November,502500
2012,December,499800
2013,January,500500
2013,February,508100
2013,March,507400
2013,April,505400
2013,May,507100
2013,June,509100
2013,July,507800
2013,August,513400
2013,September,518400
2013,October,519800
2013,November,516400
2013,December,512400
2014,January,514400
2014,February,516400
2014,March,523100
2014,April,525700
2014,May,534700
2014,June,542700
2014,July,539100
2014,August,537100
2014,September,537100
2014,October,539700
2014,November,538400
2014,December,543000
2015,January,539700
2015,February,548000
2015,March,561400
2015,April,571000
2015,May,577300
2015,June,588000
2015,July,595300
2015,August,601300
2015,September,614600
2015,October,625200
2015,November,631900
2015,December,635600