Updated: December 2014,,,,
Individual income,South,Centre,Whalley(north),All of Surrey
Population age 15 and over,56760,18815,57200,374315
,,,,
without income,2710,990,4305,25160
with income,54055,17830,52895,349150
,,,,
Under $5000,5310,2450,7635,44390
"$5,000 to $9,999",3480,1480,4435,26635
"$10,000 to $14,999",3930,2050,6835,35535
"$15,000 to $19,999",4540,2020,4115,33575
"$20,000 to $29,999",6665,2650,8295,48115
"$30,000 to $39,999",5405,2520,6050,10910
"$40,000 to $49,999",5000,1650,5095,34690
"$50,000 to $59,999",4085,1285,2955,24845
"$60,000 to $79,999",5910,1225,3400,30565
"$80,000 to $99,999",3580,330,1190,14360
"$100,000 and over",6135,160,885,15530
"$100,000 to $124,999",2245,115,545,7670
"$125,000 and over",3695,50,335,7865
,,,,
Median individual income $,"$35,752.00","$23,610.00","$21,347.00","$26,799.00"
Average individual income $,"$52,398.00","$28,383.00","$28,135.00","$36,243.00"