,,,South Surrey--White Rock (Federal electoral district - 2013 Representation Order),,,,,,British Columbia (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwelling counts,Population in 2011,1,,..,,...,,..., 4400057,+,,...,,...
Population and dwelling counts,Population in 2006,1,,..,,...,,..., 4113487,+,,...,,...
Population and dwelling counts,2006 to 2011 population change (%),,,..,,...,,...,      7.0,,,...,,...
Population and dwelling counts,Total private dwellings,2,,..,,...,,..., 1945365,,,...,,...
Population and dwelling counts,Private dwellings occupied by usual residents,3,,..,,...,,..., 1764637,,,...,,...
Population and dwelling counts,Population density per square kilometre,,,..,,...,,...,    4.8,,,...,,...
Population and dwelling counts,Land area (square km),,,..,,...,,..., 922509.29,,,...,,...
Age characteristics,Total population by age groups,4,   94680,,   44765,,   49915,, 4400055,, 2156600,, 2243455,
Age characteristics,   0 to 4 years,,    3845,,    1935,,    1910,,  219665,,  112885,,  106775,
Age characteristics,   5 to 9 years,,    4225,,    2150,,    2075,,  218915,,  112200,,  106715,
Age characteristics,   10 to 14 years,,    5125,,    2600,,    2525,,  238780,,  122465,,  116315,
Age characteristics,   15 to 19 years,,    5930,,    3020,,    2910,,  275165,,  141670,,  133500,
Age characteristics,      15 years,,    1215,,     605,,     610,,   53725,,   27620,,   26110,
Age characteristics,      16 years,,    1140,,     610,,     530,,   54885,,   28475,,   26410,
Age characteristics,      17 years,,    1255,,     640,,     615,,   55400,,   28510,,   26885,
Age characteristics,      18 years,,    1175,,     595,,     580,,   55380,,   28425,,   26955,
Age characteristics,      19 years,,    1140,,     565,,     575,,   55785,,   28640,,   27140,
Age characteristics,   20 to 24 years,,    4740,,    2435,,    2305,,  279825,,  142290,,  137535,
Age characteristics,   25 to 29 years,,    3930,,    1895,,    2035,,  288780,,  143475,,  145305,
Age characteristics,   30 to 34 years,,    3990,,    1855,,    2135,,  275985,,  135220,,  140755,
Age characteristics,   35 to 39 years,,    5025,,    2345,,    2680,,  280870,,  135455,,  145415,
Age characteristics,   40 to 44 years,,    6285,,    2925,,    3365,,  313765,,  151430,,  162335,
Age characteristics,   45 to 49 years,,    7335,,    3460,,    3875,,  350600,,  170580,,  180020,
Age characteristics,   50 to 54 years,,    7590,,    3600,,    3995,,  354610,,  172060,,  182550,
Age characteristics,   55 to 59 years,,    7800,,    3695,,    4105,,  323335,,  157455,,  165880,
Age characteristics,   60 to 64 years,,    7615,,    3560,,    4055,,  291040,,  142645,,  148395,
Age characteristics,   65 to 69 years,,    5950,,    2895,,    3050,,  210900,,  103785,,  107115,
Age characteristics,   70 to 74 years,,    4470,,    2100,,    2375,,  160715,,   77350,,   83360,
Age characteristics,   75 to 79 years,,    3665,,    1645,,    2020,,  127480,,   60720,,   66760,
Age characteristics,   80 to 84 years,,    3205,,    1315,,    1890,,   96945,,   42745,,   54200,
Age characteristics,   85 years and over,,    3950,,    1340,,    2610,,   92675,,   32150,,   60520,
Age characteristics,Median age of the population,5,   48.0,,   46.9,,   48.9,,   41.9,,   41.1,,   42.7,
Age characteristics,% of the population aged 15 and over,,   86.1,,   85.1,,   86.9,,   84.6,,   83.9,,   85.3,
Marital status,Total population 15 years and over by marital status,6,   81485,,   38085,,   43400,, 3722695,, 1809045,, 1913650,
Marital status,   Married or living with a common-law partner,,   49640,,   24690,,   24945,, 2154575,, 1074965,, 1079610,
Marital status,      Married (and not separated),,   44555,,   22130,,   22425,, 1832605,,  913430,,  919175,
Marital status,      Living common law,,    5085,,    2565,,    2520,,  321965,,  161530,,  160435,
Marital status,   Not married and not living with a common-law partner,,   31845,,   13395,,   18455,, 1568120,,  734075,,  834040,
Marital status,      Single (never legally married),,   17890,,    9400,,    8490,, 1014270,,  550830,,  463435,
Marital status,      Separated,,    2015,,     790,,    1220,,  102040,,   43570,,   58470,
Marital status,      Divorced,,    5795,,    2005,,    3785,,  246515,,   98130,,  148385,
Marital status,      Widowed,,    6155,,    1195,,    4960,,  205300,,   41550,,  163750,
Family characteristics,Total number of census families in private households,7,   27390,,,...,,..., 1238155,,,...,,...
Family characteristics,   Size of census family: 2 persons,,   14940,,,...,,...,  645245,,,...,,...
Family characteristics,   Size of census family: 3 persons,,    5290,,,...,,...,  263910,,,...,,...
Family characteristics,   Size of census family: 4 persons,,    5205,,,...,,...,  238525,,,...,,...
Family characteristics,   Size of census family: 5 or more persons,,    1960,,,...,,...,   90470,,,...,,...
Family characteristics,Total number of census families in private households,8,   27390,,,...,,..., 1238155,,,...,,...
Family characteristics,   Total couple families by family structure and number of children,,   24005,,,...,,..., 1048350,,,...,,...
Family characteristics,      Married couples,,   21485,,,...,,...,  887990,,,...,,...
Family characteristics,         Without children at home,,   11035,,,...,,...,  422310,,,...,,...
Family characteristics,         With children at home,,   10450,,,...,,...,  465680,,,...,,...
Family characteristics,            1 child,,    3900,,,...,,...,  181895,,,...,,...
Family characteristics,            2 children,,    4750,,,...,,...,  205505,,,...,,...
Family characteristics,            3 or more children,,    1800,,,...,,...,   78280,,,...,,...
Family characteristics,      Common-law couples,,    2520,,,...,,...,  160360,,,...,,...
Family characteristics,         Without children at home,,    1760,,,...,,...,  105425,,,...,,...
Family characteristics,         With children at home,,     770,,,...,,...,   54935,,,...,,...
Family characteristics,            1 child,,     390,,,...,,...,   27565,,,...,,...
Family characteristics,            2 children,,     255,,,...,,...,   19145,,,...,,...
Family characteristics,            3 or more children,,     120,,,...,,...,    8225,,,...,,...
Family characteristics,   Total lone-parent families by sex of parent and number of children,,    3380,,,...,,...,  189805,,,...,,...
Family characteristics,      Female parent,,    2685,,,...,,...,  149010,,,...,,...
Family characteristics,         1 child,,    1685,,,...,,...,   90235,,,...,,...
Family characteristics,         2 children,,     795,,,...,,...,   43935,,,...,,...
Family characteristics,         3 or more children,,     205,,,...,,...,   14835,,,...,,...
Family characteristics,      Male parent,,     700,,,...,,...,   40795,,,...,,...
Family characteristics,         1 child,,     465,,,...,,...,   27275,,,...,,...
Family characteristics,         2 children,,     195,,,...,,...,   10510,,,...,,...
Family characteristics,         3 or more children,,      40,,,...,,...,    3005,,,...,,...
Family characteristics,Total children in census families in private households,,   25405,,,...,,..., 1230340,,,...,,...
Family characteristics,   Under six years of age,,    4635,,,...,,...,  260215,,,...,,...
Family characteristics,   6 to 14 years,,    8455,,,...,,...,  409250,,,...,,...
Family characteristics,   15 to 17 years,,    3515,,,...,,...,  156650,,,...,,...
Family characteristics,   18 to 24 years,,    5980,,,...,,...,  255855,,,...,,...
Family characteristics,   25 years and over,,    2815,,,...,,...,  148375,,,...,,...
Family characteristics,Average number of children at home per census family,,    0.9,,,...,,...,    1.0,,,...,,...
Household and dwelling characteristics,Total number of persons in private households,,   91845,,   43680,,   48165,, 4324505,, 2122320,, 2202185,
Household and dwelling characteristics,   Number of persons not in census families,,   15050,,    5850,,    9205,,  807660,,  383540,,  424120,
Household and dwelling characteristics,      Living with relatives,9,    1530,,     580,,     950,,  105450,,   42525,,   62925,
Household and dwelling characteristics,      Living with non-relatives only,,    2485,,    1215,,    1270,,  203285,,  111935,,   91345,
Household and dwelling characteristics,      Living alone,,   11040,,    4050,,    6985,,  498920,,  229075,,  269850,
Household and dwelling characteristics,   Number of census family persons,,   76800,,   37835,,   38965,, 3516850,, 1738780,, 1778070,
Household and dwelling characteristics,Average number of persons per census family,,    2.8,,,...,,...,    2.8,,,...,,...
Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,   19160,,    8690,,   10470,,  643410,,  302320,,  341095,
Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,,    6335,,    1690,,    4640,,  211820,,   65460,,  146365,
Household and dwelling characteristics,      Living with relatives,9,     625,,     140,,     485,,   32900,,    7490,,   25410,
Household and dwelling characteristics,      Living with non-relatives only,,     335,,     155,,     175,,   13560,,    6770,,    6790,
Household and dwelling characteristics,      Living alone,,    5375,,    1395,,    3975,,  165365,,   51195,,  114165,
Household and dwelling characteristics,   Number of census family persons aged 65 years and over,,   12825,,    7000,,    5830,,  431590,,  236860,,  194730,
Household and dwelling characteristics,Total number of private households by household type,10,   38435,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Census-family households,,   26460,,,...,,..., 1183075,,,...,,...
Household and dwelling characteristics,      One-family-only households,11,   24090,,,...,,..., 1041470,,,...,,...
Household and dwelling characteristics,         Couple-family households,12,   21355,,,...,,...,  898030,,,...,,...
Household and dwelling characteristics,            Without children,,   11530,,,...,,...,  458880,,,...,,...
Household and dwelling characteristics,            With children,,    9825,,,...,,...,  439150,,,...,,...
Household and dwelling characteristics,         Lone-parent-family households,,    2735,,,...,,...,  143445,,,...,,...
Household and dwelling characteristics,      Other family households,13,    2370,,,...,,...,  141600,,,...,,...
Household and dwelling characteristics,         One-family households with persons not in a census family,,    1515,,,...,,...,   91190,,,...,,...
Household and dwelling characteristics,            Couple-family households,14,    1150,,,...,,...,   66105,,,...,,...
Household and dwelling characteristics,               Without children,,     405,,,...,,...,   23805,,,...,,...
Household and dwelling characteristics,               With children,,     740,,,...,,...,   42300,,,...,,...
Household and dwelling characteristics,            Lone-parent-family households,,     370,,,...,,...,   25085,,,...,,...
Household and dwelling characteristics,         Two-or-more-family households,,     855,,,...,,...,   50415,,,...,,...
Household and dwelling characteristics,   Non-census-family households,,   11980,,,...,,...,  581565,,,...,,...
Household and dwelling characteristics,      One-person households,,   11035,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,      Two-or-more-person households,,     945,,,...,,...,   82640,,,...,,...
Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,15,   38435,,,...,,..., 1764635,,,...,,...
Household and dwelling characteristics,   Single-detached house,,   20670,,,...,,...,  842120,,,...,,...
Household and dwelling characteristics,   Apartment; building that has five or more storeys,,     995,,,...,,...,  143970,,,...,,...
Household and dwelling characteristics,   Movable dwelling,16,     285,,,...,,...,   46960,,,...,,...
Household and dwelling characteristics,   Other dwelling,17,   16485,,,...,,...,  731585,,,...,,...
Household and dwelling characteristics,      Semi-detached house,,    1330,,,...,,...,   52825,,,...,,...
Household and dwelling characteristics,      Row house,,    3810,,,...,,...,  130365,,,...,,...
Household and dwelling characteristics,      Apartment; duplex,,    2785,,,...,,...,  184355,,,...,,...
Household and dwelling characteristics,      Apartment; building that has fewer than five storeys,,    8495,,,...,,...,  361150,,,...,,...
Household and dwelling characteristics,      Other single-attached house,,      60,,,...,,...,    2885,,,...,,...
Household and dwelling characteristics,Total number of private households by household size,18,   38440,,,...,,..., 1764640,,,...,,...
Household and dwelling characteristics,   1 person,,   11040,,,...,,...,  498925,,,...,,...
Household and dwelling characteristics,   2 persons,,   14070,,,...,,...,  613270,,,...,,...
Household and dwelling characteristics,   3 persons,,    5285,,,...,,...,  264135,,,...,,...
Household and dwelling characteristics,   4 persons,,    5140,,,...,,...,  237725,,,...,,...
Household and dwelling characteristics,   5 persons,,    1910,,,...,,...,   91600,,,...,,...
Household and dwelling characteristics,   6 or more persons,,    1000,,,...,,...,   58985,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,   91850,,,...,,..., 4324505,,,...,,...
Household and dwelling characteristics,Average number of persons in private households,,    2.4,,,...,,...,    2.5,,,...,,...
Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,19,   92930,,   44115,,   48815,, 4356205,, 2137240,, 2218965,
Detailed mother tongue,  Single responses ,,   91655,,   43520,,   48135,, 4273930,, 2098055,, 2175870,
Detailed mother tongue,    English ,,   70935,,   34025,,   36910,, 3062435,, 1526350,, 1536085,
Detailed mother tongue,    French ,,    1210,,     505,,     700,,   57275,,   28315,,   28965,
Detailed mother tongue,    Non-official languages ,,   19520,,    8995,,   10525,, 1154215,,  543395,,  610825,
Detailed mother tongue,      Selected Aboriginal languages,20,      10,,       0,,      10,,    1210,,     540,,     675,
Detailed mother tongue,        Atikamekw   ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Cree; n.o.s. ,,       5,,       0,,       0,,     955,,     435,,     525,
Detailed mother tongue,        Dene ,,       0,,       0,,       0,,      70,,      35,,      35,
Detailed mother tongue,        Innu/Montagnais ,,       0,,       0,,       0,,       5,,       5,,       0,
Detailed mother tongue,        Inuktitut ,,       5,,       0,,       5,,      25,,      10,,      10,
Detailed mother tongue,        Mi'kmaq ,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Ojibway ,,       0,,       0,,       0,,     140,,      50,,      90,
Detailed mother tongue,        Oji-Cree ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed mother tongue,        Stoney ,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed mother tongue,      Selected non-Aboriginal languages,21,   19410,,    8940,,   10460,, 1137420,,  535395,,  602025,
Detailed mother tongue,        African languages; n.i.e. ,,      10,,       0,,       0,,     620,,     330,,     295,
Detailed mother tongue,        Afrikaans ,,     120,,      55,,      60,,    2735,,    1330,,    1405,
Detailed mother tongue,        Akan (Twi) ,,       0,,       0,,       0,,     455,,     235,,     220,
Detailed mother tongue,        Albanian ,,      10,,       5,,       0,,    1335,,     695,,     635,
Detailed mother tongue,        Amharic ,,       0,,       0,,       5,,    1255,,     615,,     640,
Detailed mother tongue,        Arabic ,,     125,,      60,,      60,,   13050,,    7505,,    5550,
Detailed mother tongue,        Armenian ,,      25,,      15,,      10,,    1105,,     560,,     545,
Detailed mother tongue,        Bantu languages; n.i.e. ,,       5,,       0,,       0,,     530,,     235,,     295,
Detailed mother tongue,        Bengali ,,      25,,      10,,      10,,    2410,,    1265,,    1145,
Detailed mother tongue,        Berber languages (Kabyle) ,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed mother tongue,        Bisayan languages ,,      55,,      15,,      35,,    3870,,    1445,,    2430,
Detailed mother tongue,        Bosnian ,,      10,,      10,,       5,,    1275,,     635,,     640,
Detailed mother tongue,        Bulgarian ,,      40,,      20,,      20,,    1945,,     960,,     985,
Detailed mother tongue,        Burmese ,,       5,,       0,,       5,,     945,,     485,,     465,
Detailed mother tongue,        Cantonese ,,     435,,     190,,     240,,  133245,,   61790,,   71455,
Detailed mother tongue,        Chinese; n.o.s. ,,    1835,,     845,,     985,,  120040,,   55735,,   64305,
Detailed mother tongue,        Creoles ,,       5,,       5,,       0,,     640,,     315,,     320,
Detailed mother tongue,        Croatian ,,     190,,      95,,     100,,    7820,,    3860,,    3955,
Detailed mother tongue,        Czech ,,     170,,      80,,      90,,    5610,,    2800,,    2810,
Detailed mother tongue,        Danish ,,     255,,     125,,     130,,    5250,,    2575,,    2675,
Detailed mother tongue,        Dutch ,,     640,,     290,,     355,,   23080,,   11190,,   11890,
Detailed mother tongue,        Estonian ,,      75,,      30,,      45,,     820,,     345,,     475,
Detailed mother tongue,        Finnish ,,     120,,      50,,      75,,    4090,,    1705,,    2390,
Detailed mother tongue,        Flemish ,,      20,,      15,,       5,,     445,,     215,,     235,
Detailed mother tongue,        Fukien ,,      10,,       0,,      10,,    1920,,     835,,    1085,
Detailed mother tongue,        German ,,    2200,,     980,,    1220,,   73625,,   35140,,   38485,
Detailed mother tongue,        Greek ,,     140,,      75,,      65,,    6250,,    3360,,    2885,
Detailed mother tongue,        Gujarati ,,     115,,      45,,      65,,    6595,,    3060,,    3540,
Detailed mother tongue,        Hakka ,,      10,,       5,,       5,,    1110,,     475,,     630,
Detailed mother tongue,        Hebrew ,,      20,,      10,,      10,,    1755,,     970,,     785,
Detailed mother tongue,        Hindi ,,     180,,      85,,     100,,   24640,,   11840,,   12800,
Detailed mother tongue,        Hungarian ,,     235,,     115,,     120,,    9855,,    4915,,    4940,
Detailed mother tongue,        Ilocano ,,      35,,       5,,      25,,    3755,,    1465,,    2290,
Detailed mother tongue,        Indo-Iranian languages; n.i.e. ,,       5,,       5,,       5,,     475,,     265,,     205,
Detailed mother tongue,        Italian ,,     425,,     230,,     195,,   24060,,   12180,,   11880,
Detailed mother tongue,        Japanese ,,     275,,      90,,     180,,   19665,,    6840,,   12825,
Detailed mother tongue,        Khmer (Cambodian) ,,       5,,       0,,       5,,    1465,,     700,,     770,
Detailed mother tongue,        Korean ,,    1390,,     635,,     760,,   48975,,   22350,,   26625,
Detailed mother tongue,        Kurdish ,,       0,,       0,,       0,,    1415,,     775,,     645,
Detailed mother tongue,        Lao ,,       5,,       0,,       5,,    1155,,     550,,     600,
Detailed mother tongue,        Latvian ,,      20,,      15,,       5,,     615,,     305,,     310,
Detailed mother tongue,        Lingala ,,       0,,       0,,       0,,      35,,      20,,      20,
Detailed mother tongue,        Lithuanian ,,      15,,       5,,      10,,     435,,     190,,     245,
Detailed mother tongue,        Macedonian ,,       5,,       5,,       0,,     275,,     130,,     140,
Detailed mother tongue,        Malay ,,      35,,      10,,      20,,    3535,,    1590,,    1950,
Detailed mother tongue,        Malayalam ,,       5,,       5,,       5,,    1460,,     735,,     725,
Detailed mother tongue,        Maltese ,,       0,,       0,,       5,,     220,,     115,,     115,
Detailed mother tongue,        Mandarin ,,    2990,,    1430,,    1555,,   94055,,   43630,,   50425,
Detailed mother tongue,        Marathi ,,      15,,       5,,       5,,     430,,     220,,     210,
Detailed mother tongue,        Nepali ,,       5,,       5,,       0,,     805,,     430,,     375,
Detailed mother tongue,        Niger-Congo languages; n.i.e. ,,       0,,       0,,       0,,     470,,     250,,     220,
Detailed mother tongue,        Norwegian ,,      95,,      45,,      50,,    2370,,    1155,,    1215,
Detailed mother tongue,        Oromo ,,       5,,       0,,       0,,     325,,     185,,     140,
Detailed mother tongue,        Panjabi (Punjabi) ,,    3035,,    1515,,    1520,,  182915,,   90900,,   92020,
Detailed mother tongue,        Pashto ,,      10,,       5,,       5,,     900,,     485,,     415,
Detailed mother tongue,        Persian (Farsi) ,,     130,,      80,,      55,,   36045,,   18265,,   17775,
Detailed mother tongue,        Polish ,,     375,,     170,,     205,,   17460,,    8185,,    9270,
Detailed mother tongue,        Portuguese ,,     195,,      95,,      95,,   14605,,    6990,,    7615,
Detailed mother tongue,        Romanian ,,     145,,      70,,      75,,    8330,,    4110,,    4220,
Detailed mother tongue,        Rundi (Kirundi) ,,       0,,       0,,       0,,     135,,      60,,      80,
Detailed mother tongue,        Russian ,,     450,,     205,,     250,,   22650,,   10300,,   12350,
Detailed mother tongue,        Rwanda (Kinyarwanda) ,,       0,,       0,,       0,,      80,,      40,,      45,
Detailed mother tongue,        Semitic languages; n.i.e. ,,       5,,       0,,       5,,     690,,     345,,     340,
Detailed mother tongue,        Serbian ,,     180,,      85,,      90,,    6655,,    3425,,    3225,
Detailed mother tongue,        Serbo-Croatian ,,      20,,      10,,      15,,    1425,,     675,,     755,
Detailed mother tongue,        Shanghainese ,,       5,,       0,,       5,,    1250,,     530,,     715,
Detailed mother tongue,        Sign languages; n.i.e. ,,       5,,       5,,       5,,     645,,     335,,     310,
Detailed mother tongue,        Sindhi ,,      35,,      15,,      20,,    1770,,     790,,     975,
Detailed mother tongue,        Sinhala (Sinhalese) ,,       5,,       5,,       5,,    1405,,     715,,     685,
Detailed mother tongue,        Sino-Tibetan languages; n.i.e. ,,       5,,       5,,       5,,     775,,     400,,     375,
Detailed mother tongue,        Slavic languages; n.i.e. ,,      10,,       5,,       5,,     495,,     275,,     225,
Detailed mother tongue,        Slovak ,,      70,,      30,,      40,,    3220,,    1440,,    1780,
Detailed mother tongue,        Slovenian ,,      25,,      15,,      15,,    1225,,     590,,     640,
Detailed mother tongue,        Somali ,,       0,,       0,,       0,,     975,,     495,,     480,
Detailed mother tongue,        Spanish ,,     630,,     285,,     350,,   40795,,   19325,,   21470,
Detailed mother tongue,        Swahili ,,       5,,       0,,       5,,     755,,     390,,     365,
Detailed mother tongue,        Swedish ,,      80,,      25,,      55,,    2740,,    1195,,    1545,
Detailed mother tongue,        Tagalog (Pilipino; Filipino) ,,     620,,     160,,     455,,   66120,,   25835,,   40285,
Detailed mother tongue,        Taiwanese ,,     195,,     100,,      95,,    5675,,    2640,,    3035,
Detailed mother tongue,        Tamil ,,       5,,       0,,       5,,    3135,,    1635,,    1500,
Detailed mother tongue,        Telugu ,,      10,,       5,,       5,,     570,,     295,,     270,
Detailed mother tongue,        Thai ,,      40,,       5,,      30,,    2410,,     730,,    1680,
Detailed mother tongue,        Tibetan languages ,,      15,,       5,,       5,,     200,,     115,,      85,
Detailed mother tongue,        Tigrigna ,,       0,,       0,,       0,,     590,,     285,,     300,
Detailed mother tongue,        Turkish ,,      40,,      15,,      20,,    2890,,    1650,,    1235,
Detailed mother tongue,        Ukrainian ,,     365,,     135,,     225,,    9680,,    4215,,    5460,
Detailed mother tongue,        Urdu ,,     175,,      95,,      85,,    8450,,    4315,,    4140,
Detailed mother tongue,        Vietnamese ,,     100,,      45,,      50,,   25100,,   11745,,   13360,
Detailed mother tongue,        Yiddish ,,      15,,      10,,       5,,     350,,     185,,     170,
Detailed mother tongue,      Other languages,22,     105,,      45,,      55,,   15585,,    7455,,    8130,
Detailed mother tongue,  Multiple responses         ,,    1270,,     585,,     685,,   82280,,   39185,,   43095,
Detailed mother tongue,    English and French ,,     205,,      95,,     105,,    8600,,    4065,,    4535,
Detailed mother tongue,    English and non-official language ,,     975,,     445,,     525,,   68800,,   32875,,   35925,
Detailed mother tongue,    French and non-official language ,,      60,,      25,,      30,,    3345,,    1520,,    1830,
Detailed mother tongue,    English; French and non-official language,,      30,,      20,,      15,,    1530,,     725,,     805,
Knowledge of official languages,Knowledge of official languages - Total population excluding institutional residents,19,   92930,,   44110,,   48820,, 4356210,, 2137240,, 2218965,
Knowledge of official languages,  English only,,   83555,,   40090,,   43465,, 3912950,, 1943760,, 1969190,
Knowledge of official languages,  French only,,      30,,      10,,      20,,    2045,,     950,,    1095,
Knowledge of official languages,  English and French,,    7620,,    3275,,    4345,,  296645,,  132940,,  163705,
Knowledge of official languages,  Neither English nor French,,    1720,,     740,,     980,,  144555,,   59590,,   84965,
First official language spoken,First official language spoken - Total population excluding institutional residents,19,   92935,,   44115,,   48820,, 4356205,, 2137245,, 2218965,
First official language spoken,  English,,   89740,,   42755,,   46985,, 4143245,, 2044365,, 2098885,
First official language spoken,  French,,    1160,,     480,,     685,,   53725,,   26660,,   27065,
First official language spoken,  English and French,,     340,,     155,,     190,,   16935,,    7710,,    9220,
First official language spoken,  Neither English nor French,,    1685,,     725,,     965,,  142300,,   58510,,   83790,
First official language spoken,Official language minority (number),23,    1330,,     555,,     775,,   62190,,   30515,,   31680,
First official language spoken,Official language minority (percentage),23,    1.4,,    1.3,,    1.6,,    1.4,,    1.4,,    1.4,
Detailed language spoken most often at home,Detailed language spoken most often at home - Total population excluding institutional residents,19,   92930,,   44115,,   48820,, 4356205,, 2137245,, 2218965,
Detailed language spoken most often at home,  Single responses,,   90630,,   43055,,   47575,, 4193385,, 2059465,, 2133915,
Detailed language spoken most often at home,    English,,   80625,,   38360,,   42265,, 3506595,, 1733775,, 1772820,
Detailed language spoken most often at home,    French,,     305,,     125,,     185,,   16685,,    8015,,    8665,
Detailed language spoken most often at home,    Non-official languages,,    9705,,    4575,,    5130,,  670100,,  317670,,  352430,
Detailed language spoken most often at home,      Selected Aboriginal languages,20,       0,,       0,,       5,,     175,,      85,,      85,
Detailed language spoken most often at home,        Atikamekw  ,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Cree; n.o.s.,,       0,,       0,,       0,,     135,,      70,,      65,
Detailed language spoken most often at home,        Dene,,       0,,       0,,       5,,      15,,       5,,       5,
Detailed language spoken most often at home,        Innu/Montagnais,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Inuktitut,,       0,,       0,,       0,,       5,,       5,,       5,
Detailed language spoken most often at home,        Mi'kmaq,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Ojibway,,       0,,       0,,       0,,      15,,      10,,       5,
Detailed language spoken most often at home,        Oji-Cree,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Stoney,,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,      Selected non-Aboriginal languages,21,    9665,,    4555,,    5110,,  665750,,  315485,,  350265,
Detailed language spoken most often at home,        African languages; n.i.e.,,      10,,       5,,       5,,     190,,      80,,     105,
Detailed language spoken most often at home,        Afrikaans,,      65,,      30,,      30,,    1385,,     685,,     690,
Detailed language spoken most often at home,        Akan (Twi),,       0,,       0,,       0,,     120,,      60,,      60,
Detailed language spoken most often at home,        Albanian,,       5,,       0,,       5,,     700,,     345,,     350,
Detailed language spoken most often at home,        Amharic,,       0,,       0,,       0,,     555,,     245,,     310,
Detailed language spoken most often at home,        Arabic,,      55,,      25,,      25,,    7640,,    4065,,    3575,
Detailed language spoken most often at home,        Armenian,,      10,,       5,,       5,,     490,,     250,,     240,
Detailed language spoken most often at home,        Bantu languages; n.i.e.,,       0,,       0,,       0,,     115,,      50,,      65,
Detailed language spoken most often at home,        Bengali,,       5,,       5,,       0,,    1465,,     715,,     750,
Detailed language spoken most often at home,        Berber languages (Kabyle),,       0,,       0,,       0,,       0,,       0,,       0,
Detailed language spoken most often at home,        Bisayan languages,,      15,,      10,,       5,,    1265,,     540,,     720,
Detailed language spoken most often at home,        Bosnian,,       5,,       5,,       0,,     705,,     370,,     340,
Detailed language spoken most often at home,        Bulgarian,,      15,,      10,,      10,,    1085,,     530,,     555,
Detailed language spoken most often at home,        Burmese,,       5,,       5,,       0,,     585,,     315,,     270,
Detailed language spoken most often at home,        Cantonese,,     235,,     110,,     130,,  103550,,   47585,,   55970,
Detailed language spoken most often at home,        Chinese; n.o.s.,,    1370,,     625,,     740,,   81270,,   37740,,   43525,
Detailed language spoken most often at home,        Creoles,,       5,,       0,,       0,,     315,,     145,,     165,
Detailed language spoken most often at home,        Croatian,,      40,,      20,,      20,,    2540,,    1200,,    1340,
Detailed language spoken most often at home,        Czech,,      45,,      25,,      20,,    1570,,     795,,     775,
Detailed language spoken most often at home,        Danish,,      10,,       0,,       5,,     325,,     160,,     170,
Detailed language spoken most often at home,        Dutch,,      50,,      25,,      20,,    2230,,    1055,,    1175,
