Date,Region,Type,Households
2010-01-01,Central,Detached,892
2011-01-01,Central,Detached,745
2012-01-01,Central,Detached,704
2013-01-01,Central,Detached,720
2014-01-01,Central,Detached,695
2010-01-01,Central,Townhouse,266
2011-01-01,Central,Townhouse,254
2012-01-01,Central,Townhouse,295
2013-01-01,Central,Townhouse,320
2014-01-01,Central,Townhouse,283
2010-01-01,Central,Apartment,152
2011-01-01,Central,Apartment,183
2012-01-01,Central,Apartment,165
2013-01-01,Central,Apartment,190
2014-01-01,Central,Apartment,172
2010-01-01,South,Detached,363
2011-01-01,South,Detached,401
2012-01-01,South,Detached,548
2013-01-01,South,Detached,571
2014-01-01,South,Detached,522
2010-01-01,South,Townhouse,75
2011-01-01,South,Townhouse,115
2012-01-01,South,Townhouse,170
2013-01-01,South,Townhouse,222
2014-01-01,South,Townhouse,189
2010-01-01,South,Apartment,271
2011-01-01,South,Apartment,318
2012-01-01,South,Apartment,298
2013-01-01,South,Apartment,351
2014-01-01,South,Apartment,317
2010-01-01,North,Detached,381
2011-01-01,North,Detached,358
2012-01-01,North,Detached,290
2013-01-01,North,Detached,330
2014-01-01,North,Detached,293
2010-01-01,North,Townhouse,94
2011-01-01,North,Townhouse,82
2012-01-01,North,Townhouse,80
2013-01-01,North,Townhouse,94
2014-01-01,North,Townhouse,84
2010-01-01,North,Apartment,378
2011-01-01,North,Apartment,352
2012-01-01,North,Apartment,392
2013-01-01,North,Apartment,339
2014-01-01,North,Apartment,331
2010-06-01,Central,Detached,1320
2011-06-01,Central,Detached,889
2012-06-01,Central,Detached,939
2013-06-01,Central,Detached,1043
2014-06-01,Central,Detached,993
2010-06-01,Central,Townhouse,327
2011-06-01,Central,Townhouse,381
2012-06-01,Central,Townhouse,434
2013-06-01,Central,Townhouse,458
2014-06-01,Central,Townhouse,424
2010-06-01,Central,Apartment,213
2011-06-01,Central,Apartment,233
2012-06-01,Central,Apartment,250
2013-06-01,Central,Apartment,206
2014-06-01,Central,Apartment,207
2010-06-01,South,Detached,695
2011-06-01,South,Detached,514
2012-06-01,South,Detached,695
2013-06-01,South,Detached,805
2014-06-01,South,Detached,635
2010-06-01,South,Townhouse,146
2011-06-01,South,Townhouse,163
2012-06-01,South,Townhouse,247
2013-06-01,South,Townhouse,275
2014-06-01,South,Townhouse,280
2010-06-01,South,Apartment,405
2011-06-01,South,Apartment,365
2012-06-01,South,Apartment,416
2013-06-01,South,Apartment,463
2014-06-01,South,Apartment,408
2010-06-01,North,Detached,566
2011-06-01,North,Detached,433
2012-06-01,North,Detached,445
2013-06-01,North,Detached,460
2014-06-01,North,Detached,412
2010-06-01,North,Townhouse,120
2011-06-01,North,Townhouse,108
2012-06-01,North,Townhouse,127
2013-06-01,North,Townhouse,134
2014-06-01,North,Townhouse,129
2010-06-01,North,Apartment,585
2011-06-01,North,Apartment,430
2012-06-01,North,Apartment,490
2013-06-01,North,Apartment,470
2014-06-01,North,Apartment,527