Date,Region,Population
2004,South,67010
2005,South,67800
2006,South,68590
2007,South,71120
2008,South,74400
2009,South,75290
2010,South,77620
2011,South,79240
2012,South,81400
2013,South,82790
2014,South,84340
2004,North,67010
2005,North,67800
2006,North,68590
2007,North,71120
2008,North,74400
2009,North,75290
2010,North,95110
2011,North,95830
2012,North,97130
2013,North,99660
2014,North,100050
2004,Central,20900
2005,Central,21360
2006,Central,22610
2007,Central,26180
2008,Central,27590
2009,Central,27570
2010,Central,28050
2011,Central,28420
2012,Central,29370
2013,Central,31860
2014,Central,31950